"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"161",-55,-18.25,2016,2,400.756378173828,0.557830899953842,0,2,0
"162",-55,-18,2016,2,400.400543212891,0.539450466632843,0,8,0
"163",-55,-17.75,2016,2,401.678802490234,0.516980081796646,0,3,0
"164",-55,-17.5,2016,2,401.053039550781,0.541406784206629,0,8,0
"165",-55,-17.25,2015,2,396.745758056641,0.412185832858086,0,2,0
"166",-55,-17,2016,2,400.803405761719,0.431416604079698,0,19,0
"167",-55,-16.75,2016,2,401.514770507812,0.436354988151126,0,9,0
"168",-54.75,-31,2016,2,400.494354248047,0.48927815258503,0,2,0
"169",-54.75,-19.25,2015,2,396.599273681641,0.511877099672953,0,6,0
"170",-54.75,-19,2015,2,397.027740478516,0.46244769011225,0,7,0
"171",-54.75,-18,2016,2,400.912719726562,0.5315061211586,NA,1,NA
"172",-54.5,-27.75,2015,2,396.788726806641,0.356753200292587,NA,1,NA
"173",-54.5,-20.25,2016,2,401.202697753906,0.523896810412407,0,10,0
"174",-54.5,-19.75,2015,2,397.170654296875,0.484025001525879,NA,1,NA
"175",-54.5,1,2015,2,396.969940185547,0.460522830486298,0,8,0
"176",-54.5,1.5,2015,2,397.065887451172,0.453458279371262,NA,1,NA
"177",-54.25,-21.5,2015,2,396.4345703125,0.5042844414711,NA,1,NA
"178",-54.25,-21.25,2015,2,396.8583984375,0.409581527113914,0,4,0
"179",-54.25,-21.25,2016,2,402.499938964844,0.617904245853424,NA,1,NA
"180",-54.25,-21,2016,2,402.912689208984,0.502363614737988,0,4,0
"181",-54.25,-7.75,2015,2,396.991333007812,0.538080096244812,0,4,0
"182",-54.25,-7.5,2015,2,397.512298583984,0.441261355280876,0,50,0
"183",-54.25,-7.25,2015,2,397.072662353516,0.443293171269553,0,7,0
"184",-54.25,-7,2015,2,396.619598388672,0.470093717177709,0,54,0
"185",-54.25,0,2015,2,397.090637207031,0.457499831914902,0,3,0
"186",-54,-30,2015,2,396.882537841797,0.368508338928223,NA,1,NA
"187",-54,-30,2016,2,405.368927001953,0.407551348209381,NA,1,NA
"188",-54,-29.75,2015,2,396.543334960938,0.399745881557465,0,14,0
"189",-54,-29.5,2015,2,396.934020996094,0.39971998333931,0,2,0
"190",-54,-29.25,2016,2,404.569885253906,0.371552377939224,NA,1,NA
"191",-54,-29,2015,2,396.409423828125,0.367242157459259,NA,1,NA
"192",-54,-28.75,2015,2,396.612945556641,0.37677254445023,0,18,0
"193",-54,-28.5,2015,2,396.322326660156,0.37322655916214,0,5,0
"194",-54,-28.25,2015,2,396.760467529297,0.428811490535736,NA,1,NA
"195",-54,-21.75,2015,2,397.029632568359,0.443921810388565,0,5,0
"196",-54,-16.25,2016,2,402.372985839844,0.457569777965546,NA,1,NA
"197",-54,-16,2016,2,403.051239013672,0.601578623056412,0,2,0
"198",-54,-15.75,2016,2,402.481994628906,0.532980144023895,0,4,0
"199",-54,-15.5,2016,2,402.494842529297,0.582785248756409,NA,1,NA
"200",-54,-8,2015,2,396.478607177734,0.460937719792128,0,8,0
"201",-54,-7.75,2015,2,397.706298828125,0.426253014802933,0,15,0
"202",-54,-1.25,2016,2,397.638366699219,0.400210499763489,0,9,0
"203",-54,-1,2016,2,398.867980957031,0.405572414398193,NA,1,NA
"204",-53.75,-31,2015,2,397.038452148438,0.418582243578775,0,7,0
"205",-53.75,-30.75,2015,2,396.66845703125,0.413264559374915,0,9,0
"206",-53.75,-30.25,2016,2,398.517517089844,0.488170146942139,NA,1,NA
"207",-53.75,-30,2015,2,397.391235351562,0.424542486667633,NA,1,NA
"208",-53.75,-29,2015,2,397.259613037109,0.372811749577522,0,4,0
"209",-53.75,-28.75,2015,2,397.659332275391,0.378940433263779,NA,1,NA
"210",-53.75,-23.5,2015,2,396.432647705078,0.485357906137194,0,7,0
"211",-53.75,-23.25,2015,2,396.494598388672,0.432893505463233,0,13,0
"212",-53.75,-9.25,2015,2,397.353393554688,0.494026915894614,0,9,0
"213",-53.75,-2,2015,2,397.123870849609,0.46390770872434,0,3,0
"214",-53.5,-31.5,2016,2,398.573822021484,0.524673823267221,0,16,0
"215",-53.5,-31,2015,2,397.287200927734,0.432435154914856,NA,1,NA
"216",-53.5,-30.5,2015,2,397.124664306641,0.410201032956441,0,3,0
"217",-53.5,-30.25,2015,2,396.864898681641,0.408328860998154,NA,1,NA
"218",-53.5,-23.75,2015,2,397.429443359375,0.447716623544693,NA,1,NA
"219",-53.5,-18.5,2016,2,399.297821044922,0.445503979921341,NA,1,NA
"220",-53.5,-17.75,2016,2,398.454498291016,0.690663456916809,NA,1,NA
"221",-53.25,-33.5,2015,2,399.794372558594,0.38764692346255,0,6,0
"222",-53.25,-32.5,2015,2,399.899993896484,0.383626654744148,0,2,0
"223",-53.25,-31.5,2016,2,396.962646484375,0.474619925022125,0,2,0
"224",-53.25,-31.25,2015,2,400.153228759766,0.43021896481514,0,5,0
"225",-53.25,-31.25,2016,2,397.582305908203,0.456134397122595,0,18,0
"226",-53.25,-31,2015,2,399.561706542969,0.41507902470502,0,22,0
"227",-53.25,-31,2016,2,397.510833740234,0.464533805847168,0,3,0
"228",-53.25,-30.75,2015,2,399.139282226562,0.403939247131348,NA,1,NA
"229",-53.25,-30.75,2016,2,398.684753417969,0.442492409394338,0,13,0
"230",-53.25,-19,2016,2,398.003112792969,0.58092412352562,0,2,0
"231",-53.25,-11.25,2015,2,396.049835205078,0.606947064399719,NA,1,NA
"232",-53,-33.25,2015,2,396.832092285156,0.390314382314682,0,5,0
"233",-53,-33.25,2016,2,398.309417724609,0.503804564476013,NA,1,NA
"234",-53,-32.25,2015,2,396.524169921875,0.358397275209427,NA,1,NA
"235",-53,-32.25,2016,2,397.517425537109,0.442232917336857,0,17,0
"236",-53,-32,2016,2,398.586395263672,0.455422239332664,0,41,0
"237",-53,-31.75,2016,2,398.692901611328,0.468087149016997,0,34,0
"238",-53,-31.5,2016,2,399.091125488281,0.466407030820847,0,17,0
"239",-53,-31.25,2016,2,397.674499511719,0.440575465559959,0,2,0
"240",-53,-26,2015,2,396.835327148438,0.399150609970093,NA,1,NA
